Timestamp,Source,Side,EntryPrice,ExitPrice,SizeUSD,PnL,Reason,EntryStep,ExitStep
2026-05-04 21:15:20,EBB_Scalper,short,5.296827,4.273861,558.99,107.68,stop_loss,97547,100847
2026-05-04 21:17:35,EBB_Scalper,long,9.045112,7.009011,449.02,-101.3,stop_loss,157847,160247
2026-05-04 21:18:39,EBB_Scalper,long,9.7248,10.72133,472.15,48.15,stop_loss,185147,188447
2026-05-04 21:19:20,EBB_Scalper,short,0.154672,0.148011,15.97,0.68,stop_loss,204947,206147
2026-05-04 21:20:52,EBB_Scalper,short,0.193114,0.172438,32.55,3.47,stop_loss,207047,245147
2026-05-04 21:21:07,EBB_Scalper,short,0.145353,0.139885,381.0,14.14,stop_loss,251147,251747
2026-05-04 21:21:33,EBB_Scalper,short,0.240128,0.279294,617.58,-101.04,stop_loss,260747,262847
2026-05-04 21:22:50,EBB_Scalper,short,0.32511,0.294954,487.9,45.01,stop_loss,295547,296747
2026-05-04 21:23:31,EBB_Scalper,short,0.155231,0.116661,437.66,108.53,stop_loss,311447,314147
2026-05-04 21:24:00,EBB_Scalper,short,0.113851,0.104755,577.12,45.82,stop_loss,326147,326747
2026-05-04 21:24:08,EBB_Scalper,short,0.113152,0.106975,577.95,31.26,stop_loss,328847,330047
2026-05-04 21:24:21,EBB_Scalper,short,0.125181,0.106678,616.67,90.84,stop_loss,332747,335747
2026-05-04 21:25:09,EBB_Scalper,short,0.126019,0.150328,533.62,-103.2,stop_loss,357347,357947
2026-05-04 21:25:57,EBB_Scalper,long,0.255121,0.255804,399.2,0.87,stop_loss,373247,378347
2026-05-04 21:27:31,EBB_Scalper,long,0.338938,0.427914,431.3,113.01,stop_loss,413447,417947
2026-05-04 21:27:57,EBB_Scalper,long,0.42825,0.463914,365.53,30.26,stop_loss,427247,428747
2026-05-04 21:31:00,EBB_Scalper,short,0.248367,0.239039,589.31,21.84,stop_loss,507347,507947
2026-05-04 21:32:19,EBB_Scalper,short,0.148955,0.144343,470.65,14.34,stop_loss,538547,539747
2026-05-04 21:33:13,manual,long,0.100077,0.101507,100.0,1.37,user_close,0,547582
2026-05-04 21:33:20,manual,short,0.099921,0.102404,100.0,-2.54,user_close,0,547589
